order_id,pepperoni,mushrooms,olives,onions,sausage,bacon,peppers
1,1,1,1,1,1,0,0
2,1,1,1,0,1,1,0
3,1,0,0,1,1,1,1
4,0,1,1,1,0,0,1
5,1,0,1,0,1,0,0
6,0,1,1,1,0,0,0
7,1,0,0,1,1,1,1
8,1,1,1,1,1,1,1
9,0,1,1,0,1,1,1
10,1,1,1,1,0,0,1
11,1,1,0,1,1,0,1
12,0,1,1,0,1,0,1
13,1,0,1,1,0,1,0
14,0,1,1,1,0,0,1
15,1,1,1,1,1,0,0
16,0,1,1,1,0,0,0
17,1,0,0,1,1,1,1
18,1,1,1,1,1,1,1
19,0,1,1,0,1,1,1
20,1,1,1,1,0,0,1
21,1,1,0,1,1,0,1
22,0,1,1,0,1,0,1
23,1,0,1,1,0,1,0
24,0,1,1,1,0,0,1
25,1,1,1,1,1,0,0
26,0,1,1,1,0,0,0
27,1,0,0,1,1,1,1
28,1,1,1,1,1,1,1
29,0,1,0,0,1,1,1
30,1,1,1,1,0,0,1
31,1,1,0,1,1,0,1
32,0,1,1,0,1,0,1
33,1,0,0,1,0,1,0
34,0,1,1,1,0,0,1
35,1,1,1,1,1,0,0
36,0,1,1,1,0,0,0
37,1,0,0,1,1,1,1
38,1,1,0,1,1,1,1
39,0,1,1,0,1,1,1
40,1,1,1,1,0,0,1
41,1,1,0,1,1,0,1
42,0,1,1,0,1,0,1
43,1,0,1,1,0,1,0
44,0,1,1,0,0,0,1
45,1,1,1,1,0,0,0
46,0,1,1,1,0,0,0
47,1,0,0,1,0,1,1
48,1,1,1,1,0,1,1
49,0,1,1,0,0,1,1
50,1,1,1,1,0,0,1
51,1,1,0,1,0,0,1
52,0,1,1,0,1,0,1
53,1,0,1,1,0,1,1
54,0,1,1,1,0,0,1
55,1,1,1,1,1,0,0
56,0,1,1,1,0,0,0
57,1,0,0,1,1,1,1
58,1,1,1,1,1,1,1
59,0,1,1,0,1,1,1
60,1,1,1,1,0,0,1
61,1,1,0,1,1,0,1
62,0,1,1,0,1,0,1
63,1,0,1,1,0,1,0
64,0,1,1,1,0,0,1
65,1,1,1,1,1,0,1
